Statistik från Skolverket, https://www.skolverket.se

Grundskola - Relationen mellan nationella prov och slutbetyg årskurs 9, svenska/svenska som andraspråk, matematik och engelska
Valt läsår: 2024/25

Exporten visar statistik om det finns minst 15 elever i årskurs 9 med både slutbetyg och provbetyg i 
ämnena svenska, matematik eller engelska.
Om data saknas visas en prick (.) istället för utfall.

Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Svenska, antal elever med provbetyg och slutbetyg;Svenska, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Svenska, andel (%) elever med lika slutbetyg jämfört med provbetyget;Svenska, andel (%) elever med högre slutbetyg jämfört med provbetyget;Matematik, antal elever med provbetyg och slutbetyg;Matematik, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Matematik, andel (%) elever med lika slutbetyg jämfört med provbetyget;Matematik, andel (%) elever med högre slutbetyg jämfört med provbetyget;Engelska, antal elever med provbetyg och slutbetyg;Engelska, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Engelska, andel (%) elever med lika slutbetyg jämfört med provbetyget;Engelska, andel (%) elever med högre slutbetyg jämfört med provbetyget;Svenska som andraspråk, antal elever med provbetyg och slutbetyg;Svenska som andraspråk, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Svenska som andraspråk, andel (%) elever med lika slutbetyg jämfört med provbetyget;Svenska som andraspråk, andel (%) elever med högre slutbetyg jämfört med provbetyget;
Lärande Grundskola Södra;72526185;Norrköping;0581;Enskild;Lärande förskolor och grundskolor i Sverige AB;5567243547;46;.;82,6;17,4;48;.;89,6;10,4;50;28,0;68,0;4,0;.;.;.;.;
Lärande Grundskola Östra;90838156;Norrköping;0581;Enskild;Lärande förskolor och grundskolor i Sverige AB;5567243547;38;2,6;76,3;21,1;52;.;40,4;59,6;53;5,7;71,7;22,6;.;.;.;.;
Mosstorpsskolan 2;67224193;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;99;7,1;82,8;10,1;87;.;58,6;41,4;100;17,0;75,0;8,0;.;.;.;.;
Navestadsskolan 2;67887385;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;49;4,1;59,2;36,7;66;.;72,7;27,3;70;11,4;70,0;18,6;21;.;66,7;33,3;
Nordic International School Norrköping;67542970;Norrköping;0581;Enskild;Nordic International School AB;5566102033;33;12,1;48,5;39,4;74;.;93,2;6,8;76;.;80,3;19,7;45;8,9;55,6;35,6;
Prolympia, Norrköping;16013826;Norrköping;0581;Enskild;Prolympia AB;5567026454;103;13,6;73,8;12,6;104;1,0;45,2;53,8;108;2,8;83,3;13,9;.;.;.;.;
Råsslaskolan 1;80621158;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;83;13,3;30,1;56,6;81;.;60,5;39,5;81;34,6;60,5;4,9;.;.;.;.;
Sandbyhovsskolan;64558930;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;76;3,9;64,5;31,6;93;2,2;77,4;20,4;91;35,2;64,8;.;15;.;40,0;60,0;
Vikbolandsskolan 1;86323840;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;51;7,8;58,8;33,3;50;2,0;84,0;14,0;50;30,0;62,0;8,0;.;.;.;.;
Vittra Röda stan;38936292;Norrköping;0581;Enskild;Vittraskolorna AB;5564586716;15;13,3;86,7;.;22;.;72,7;27,3;22;13,6;77,3;9,1;.;.;.;.;
Ekebyholmsskolan, gr;98239828;Norrtälje;0188;Enskild;Ekebyholmsskolan Aktiebolag;5562512425;21;.;81,0;19,0;24;.;100,0;.;24;.;87,5;12,5;.;.;.;.;
Freinetskolan Hugin;89692072;Norrtälje;0188;Enskild;Freinetskolan Hugin Ekonomisk förening;7696188189;21;.;52,4;47,6;24;.;95,8;4,2;24;.;83,3;16,7;.;.;.;.;
Freinetskolan Mimer Tingshuset;57467562;Norrtälje;0188;Enskild;Freinetskolan Mimer ekonomisk förening;7696021117;45;4,4;66,7;28,9;46;.;69,6;30,4;48;6,3;66,7;27,1;.;.;.;.;
Hallsta skola;24146389;Norrtälje;0188;Kommunal;Norrtälje kommun;2120000217;50;.;24,0;76,0;59;.;44,1;55,9;61;3,3;75,4;21,3;.;.;.;.;
Långsjöskolan;99749462;Norrtälje;0188;Kommunal;Norrtälje kommun;2120000217;75;1,3;41,3;57,3;77;.;79,2;20,8;79;36,7;60,8;2,5;.;.;.;.;
Länna skola;72471883;Norrtälje;0188;Kommunal;Norrtälje kommun;2120000217;37;5,4;70,3;24,3;39;.;84,6;15,4;35;11,4;88,6;.;.;.;.;.;
Montessoriskolan - Gustafslund;26281697;Norrtälje;0188;Enskild;Montessori i Norrtälje AB;5562855410;29;.;86,2;13,8;28;.;85,7;14,3;25;.;92,0;8,0;.;.;.;.;
Norrsundsskolan;39351914;Norrtälje;0188;Kommunal;Norrtälje kommun;2120000217;18;5,6;94,4;.;20;.;85,0;15,0;22;13,6;81,8;4,5;.;.;.;.;
Roslagsskolan;31851256;Norrtälje;0188;Kommunal;Norrtälje kommun;2120000217;181;1,7;42,0;56,4;185;0,5;76,2;23,2;181;15,5;77,3;7,2;.;.;.;.;
Svanberga skola;59975651;Norrtälje;0188;Kommunal;Norrtälje kommun;2120000217;52;9,6;51,9;38,5;49;.;73,5;26,5;51;29,4;62,7;7,8;.;.;.;.;
Viby friskola;54806839;Norrtälje;0188;Enskild;Ogenholts Friskola AB;5565533873;16;.;100,0;.;16;.;93,8;6,3;16;.;100,0;.;.;.;.;.;
Wigulfskolan;15312030;Norrtälje;0188;Kommunal;Norrtälje kommun;2120000217;43;2,3;53,5;44,2;51;.;41,2;58,8;53;5,7;94,3;.;.;.;.;.;
Norsjöskolan F-9;10421130;Norsjö;2417;Kommunal;Norsjö kommun;2120002858;41;.;68,3;31,7;40;2,5;65,0;32,5;43;16,3;69,8;14,0;.;.;.;.;
Alsterbro skola;62698200;Nybro;0881;Kommunal;Nybro kommun;2120000753;16;6,3;75,0;18,8;16;.;75,0;25,0;16;12,5;81,3;6,3;.;.;.;.;
Madesjöskolan Ma02;38198417;Nybro;0881;Kommunal;Nybro kommun;2120000753;60;11,7;58,3;30,0;69;2,9;56,5;40,6;70;2,9;92,9;4,3;.;.;.;.;
Paradisskolan Pa02;79650118;Nybro;0881;Kommunal;Nybro kommun;2120000753;75;12,0;76,0;12,0;100;2,0;77,0;21,0;95;10,5;85,3;4,2;23;4,3;73,9;21,7;
Lillhagaskolan;99640618;Nykvarn;0140;Kommunal;Nykvarns kommun;2120002999;147;8,8;64,6;26,5;148;6,1;66,9;27,0;154;17,5;74,7;7,8;.;.;.;.;
Fokusskolan;18915192;Nyköping;0480;Enskild;Nyfo AB;5567812291;21;14,3;57,1;28,6;22;.;68,2;31,8;23;.;100,0;.;.;.;.;.;
Innovitaskolan Nyköping 2;90949432;Nyköping;0480;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;46;2,2;82,6;15,2;44;2,3;88,6;9,1;46;2,2;87,0;10,9;.;.;.;.;
Kunskapsskolan Nyköping;88046003;Nyköping;0480;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;105;13,3;66,7;20,0;123;4,9;58,5;36,6;119;27,7;57,1;15,1;.;.;.;.;
Mikaeliskolan;75746018;Nyköping;0480;Enskild;Stiftelsen Mikaeliskolan i Nyköping;8190010572;16;6,3;75,0;18,8;17;.;82,4;17,6;17;17,6;82,4;.;.;.;.;.;
Nyköpings Enskilda Grundskola;91013126;Nyköping;0480;Enskild;Nyköpings Enskilda Grundskola AB;5590689559;126;2,4;40,5;57,1;130;8,5;86,2;5,4;131;32,1;64,9;3,1;.;.;.;.;
Nyköpings högstadium;99757444;Nyköping;0480;Kommunal;Nyköpings kommun;2120002940;169;13,6;76,3;10,1;232;1,7;74,6;23,7;220;4,1;76,8;19,1;53;9,4;50,9;39,6;
Vittra Kungshagen;50698424;Nyköping;0480;Enskild;Vittraskolorna AB;5564586716;43;2,3;79,1;18,6;52;.;82,7;17,3;53;5,7;81,1;13,2;.;.;.;.;
Gröndalsskolan F-9;65717061;Nynäshamn;0192;Kommunal;Nynäshamns kommun;2120000233;99;4,0;66,7;29,3;104;1,0;40,4;58,7;114;4,4;75,4;20,2;.;.;.;.;
Vanstaskolan F-9;68361133;Nynäshamn;0192;Kommunal;Nynäshamns kommun;2120000233;84;1,2;39,3;59,5;101;2,0;62,4;35,6;100;2,0;78,0;20,0;.;.;.;.;
Viaskolan 8-9;29154754;Nynäshamn;0192;Kommunal;Nynäshamns kommun;2120000233;46;15,2;69,6;15,2;59;.;66,1;33,9;52;7,7;71,2;21,2;.;.;.;.;
Brinells högstadium;27489659;Nässjö;0682;Kommunal;Nässjö kommun;2120000548;62;11,3;64,5;24,2;101;2,0;65,3;32,7;108;10,2;75,9;13,9;40;10,0;72,5;17,5;
Norråsaskolan;19118399;Nässjö;0682;Kommunal;Nässjö kommun;2120000548;105;13,3;60,0;26,7;119;2,5;69,7;27,7;119;39,5;53,8;6,7;18;.;72,2;27,8;
Parkskolan;97882848;Nässjö;0682;Kommunal;Nässjö kommun;2120000548;49;10,2;57,1;32,7;57;3,5;78,9;17,5;59;6,8;89,8;3,4;.;.;.;.;
Rosenholmsskolan;66394964;Nässjö;0682;Kommunal;Nässjö kommun;2120000548;28;7,1;60,7;32,1;31;.;48,4;51,6;31;6,5;74,2;19,4;.;.;.;.;
Perslundaskolan åk 7-9;20248329;Ockelbo;2101;Kommunal;Ockelbo kommun;2120002288;36;8,3;58,3;33,3;40;.;80,0;20,0;37;2,7;91,9;5,4;.;.;.;.;
Högavångsskolan;53603984;Olofström;1060;Kommunal;Olofströms kommun;2120000811;121;5,0;60,3;34,7;141;0,7;60,3;39,0;148;18,2;66,9;14,9;23;.;87,0;13,0;
Orsaskolan;19694910;Orsa;2034;Kommunal;Orsa kommun;2120002189;55;.;80,0;20,0;61;.;72,1;27,9;68;2,9;88,2;8,8;.;.;.;.;
Henåns skola 7-9;76943513;Orust;1421;Kommunal;Orust kommun;2120001314;77;13,0;54,5;32,5;83;1,2;68,7;30,1;84;40,5;56,0;3,6;.;.;.;.;
Ängås skola 7-9;34557677;Orust;1421;Kommunal;Orust kommun;2120001314;55;7,3;76,4;16,4;61;4,9;54,1;41,0;60;23,3;70,0;6,7;.;.;.;.;
Hasslarödsskolan 7-9;13184976;Osby;1273;Kommunal;Osby kommun;2120000902;109;7,3;62,4;30,3;118;1,7;66,9;31,4;121;24,0;58,7;17,4;.;.;.;.;
Örkenedskolan F-9;21002578;Osby;1273;Kommunal;Osby kommun;2120000902;19;5,3;47,4;47,4;21;.;38,1;61,9;22;.;54,5;45,5;.;.;.;.;
Kristinebergskolan F-9;38052846;Oskarshamn;0882;Kommunal;Oskarshamns kommun;2120000761;63;22,2;63,5;14,3;74;1,4;78,4;20,3;76;47,4;52,6;.;.;.;.;.;
Rödsleskolan F-9;55569663;Oskarshamn;0882;Kommunal;Oskarshamns kommun;2120000761;71;14,1;66,2;19,7;74;5,4;79,7;14,9;75;22,7;66,7;10,7;.;.;.;.;
Vallhallaskolan F-9;65582914;Oskarshamn;0882;Kommunal;Oskarshamns kommun;2120000761;82;2,4;54,9;42,7;104;1,9;77,9;20,2;103;9,7;88,3;1,9;22;.;77,3;22,7;
Alftaskolan 7-9;92304123;Ovanåker;2121;Kommunal;Ovanåkers kommun;2120002304;39;7,7;64,1;28,2;45;2,2;77,8;20,0;45;13,3;77,8;8,9;.;.;.;.;
Celsiusskolan 7-9;43362307;Ovanåker;2121;Kommunal;Ovanåkers kommun;2120002304;63;4,8;82,5;12,7;60;1,7;56,7;41,7;66;10,6;84,8;4,5;.;.;.;.;
Oxelöskolan;12053461;Oxelösund;0481;Kommunal;Oxelösunds kommun;2120000324;22;.;77,3;22,7;39;.;74,4;25,6;40;5,0;77,5;17,5;20;.;100,0;.;
Ramdalsskolan;98215830;Oxelösund;0481;Kommunal;Oxelösunds kommun;2120000324;56;21,4;55,4;23,2;55;.;67,3;32,7;56;3,6;48,2;48,2;.;.;.;.;
Pajala Centralskola;12443258;Pajala;2521;Kommunal;Pajala kommun;2120002718;41;.;65,9;34,1;42;2,4;78,6;19,0;46;6,5;67,4;26,1;.;.;.;.;
Casa Montessori;68358072;Partille;1402;Enskild;Montessoristiftelsen i Partille;8572054610;17;17,6;82,4;.;18;.;77,8;22,2;16;12,5;87,5;.;.;.;.;.;
Lexby skola 6-9;51610240;Partille;1402;Kommunal;Partille kommun;2120001272;93;8,6;79,6;11,8;113;0,9;61,9;37,2;120;5,8;88,3;5,8;23;13,0;65,2;21,7;
Stadsparksskolan;57412559;Partille;1402;Kommunal;Partille kommun;2120001272;82;6,1;68,3;25,6;101;3,0;86,1;10,9;104;7,7;80,8;11,5;20;.;80,0;20,0;
Ugglums skola 5-9;78100490;Partille;1402;Kommunal;Partille kommun;2120001272;48;.;83,3;16,7;49;.;79,6;20,4;47;2,1;97,9;.;.;.;.;.;
Vallhamra skola 7-9;92848832;Partille;1402;Kommunal;Partille kommun;2120001272;115;7,0;68,7;24,3;117;7,7;80,3;12,0;126;2,4;85,7;11,9;.;.;.;.;
Öjersjö Storegård skola 5-9;19873115;Partille;1402;Kommunal;Partille kommun;2120001272;99;1,0;84,8;14,1;104;.;93,3;6,7;101;20,8;76,2;3,0;.;.;.;.;
Centralskolan 4-9;24561124;Perstorp;1275;Kommunal;Perstorps kommun;2120000910;55;.;65,5;34,5;84;.;81,0;19,0;81;12,3;64,2;23,5;25;8,0;60,0;32,0;
Christinaskolan 7-9;94591900;Piteå;2581;Kommunal;Piteå kommun;2120002759;90;6,7;66,7;26,7;102;2,9;80,4;16,7;102;40,2;56,9;2,9;.;.;.;.;
Hortlax skola;10185533;Piteå;2581;Kommunal;Piteå kommun;2120002759;97;1,0;79,4;19,6;95;1,1;69,5;29,5;96;30,2;64,6;5,2;.;.;.;.;
Pitholmsskolan 7-9;18339846;Piteå;2581;Kommunal;Piteå kommun;2120002759;78;2,6;75,6;21,8;74;.;64,9;35,1;79;8,9;91,1;.;.;.;.;.;
Porsnässkolan;18748381;Piteå;2581;Kommunal;Piteå kommun;2120002759;68;8,8;35,3;55,9;67;1,5;47,8;50,7;68;33,8;51,5;14,7;.;.;.;.;
Sjulnässkolan;42296356;Piteå;2581;Kommunal;Piteå kommun;2120002759;38;2,6;68,4;28,9;42;2,4;71,4;26,2;42;21,4;69,0;9,5;.;.;.;.;
Solanderskolan;69993304;Piteå;2581;Kommunal;Piteå kommun;2120002759;26;11,5;73,1;15,4;37;.;75,7;24,3;38;21,1;73,7;5,3;.;.;.;.;
Anders-Olofskolan;78545687;Ragunda;2303;Kommunal;Ragunda kommun;2120002452;24;16,7;66,7;16,7;31;9,7;67,7;22,6;28;14,3;82,1;3,6;.;.;.;.;
Hansåkerskolan;22316816;Ragunda;2303;Kommunal;Ragunda kommun;2120002452;19;.;52,6;47,4;20;.;50,0;50,0;15;6,7;80,0;13,3;.;.;.;.;
Tundalsskolan åk 7-9;74131494;Robertsfors;2409;Kommunal;Robertsfors kommun;2120002551;71;7,0;76,1;16,9;74;2,7;81,1;16,2;76;27,6;69,7;2,6;.;.;.;.;
Kallingeskolan 7-9;53155267;Ronneby;1081;Kommunal;Ronneby kommun;2120000837;95;5,3;53,7;41,1;112;4,5;56,3;39,3;117;10,3;82,1;7,7;23;.;60,9;39,1;
Parkdalaskolan 7-9;10175276;Ronneby;1081;Kommunal;Ronneby kommun;2120000837;44;2,3;75,0;22,7;68;.;33,8;66,2;70;17,1;75,7;7,1;26;15,4;53,8;30,8;
Silverbergsskolan Ronneby;38449858;Ronneby;1081;Enskild;Skolalliansen i Sverige AB;5567497051;26;.;80,8;19,2;45;.;77,8;22,2;45;26,7;64,4;8,9;18;11,1;77,8;11,1;
Snäckebacksskolan 7-9;12753961;Ronneby;1081;Kommunal;Ronneby kommun;2120000837;57;3,5;61,4;35,1;81;.;58,0;42,0;78;34,6;60,3;5,1;23;4,3;82,6;13,0;
Rättviksskolan;73451967;Rättvik;2031;Kommunal;Rättviks kommun;2120002171;70;1,4;71,4;27,1;73;1,4;53,4;45,2;73;13,7;71,2;15,1;.;.;.;.;
Ekebyskolan;62812509;Sala;1981;Kommunal;Sala kommun;2120002098;92;5,4;50,0;44,6;109;1,8;54,1;44,0;104;24,0;65,4;10,6;17;5,9;58,8;35,3;
Vallaskolan 7-9;62995298;Sala;1981;Kommunal;Sala kommun;2120002098;129;5,4;81,4;13,2;128;.;60,2;39,8;135;3,7;54,1;42,2;.;.;.;.;
Fågelsångens skola;54067262;Salem;0128;Kommunal;Salems kommun;2120002874;27;.;51,9;48,1;40;2,5;82,5;15,0;38;13,2;71,1;15,8;.;.;.;.;
Nytorpsskolan;36262199;Salem;0128;Kommunal;Salems kommun;2120002874;23;.;78,3;21,7;21;9,5;71,4;19,0;23;17,4;73,9;8,7;.;.;.;.;
Rönninge skola;71677992;Salem;0128;Kommunal;Salems kommun;2120002874;56;21,4;44,6;33,9;55;9,1;80,0;10,9;53;32,1;62,3;5,7;.;.;.;.;
Skogsängsskolan;58385274;Salem;0128;Kommunal;Salems kommun;2120002874;36;2,8;88,9;8,3;47;.;55,3;44,7;43;4,7;93,0;2,3;.;.;.;.;
Söderby friskola;56858061;Salem;0128;Enskild;Söderby Friskola Ekonomisk Förening;7696016117;23;4,3;87,0;8,7;21;.;57,1;42,9;24;12,5;87,5;.;.;.;.;.;
Björksätraskolan F-9;53803818;Sandviken;2181;Kommunal;Sandvikens kommun;2120002346;66;6,1;60,6;33,3;83;.;80,7;19,3;89;22,5;75,3;2,2;19;26,3;57,9;15,8;
Hedängskolan 6-9;72318069;Sandviken;2181;Kommunal;Sandvikens kommun;2120002346;57;7,0;33,3;59,6;54;1,9;94,4;3,7;58;6,9;91,4;1,7;.;.;.;.;
Murgårdsskolan;78907748;Sandviken;2181;Kommunal;Sandvikens kommun;2120002346;65;3,1;60,0;36,9;90;1,1;61,1;37,8;97;23,7;66,0;10,3;30;6,7;43,3;50,0;
Norrsätraskolan;80131736;Sandviken;2181;Kommunal;Sandvikens kommun;2120002346;57;7,0;61,4;31,6;74;1,4;45,9;52,7;85;36,5;51,8;11,8;26;.;69,2;30,8;
Sandvikens Internationella Montessoriskola;17233525;Sandviken;2181;Enskild;Sandvikens Friskola AB;5590474481;20;.;90,0;10,0;21;.;90,5;9,5;20;5,0;90,0;5,0;.;.;.;.;
Centralskolan;61056172;Sigtuna;0191;Kommunal;Sigtuna kommun;2120000225;30;10,0;76,7;13,3;52;.;61,5;38,5;52;3,8;84,6;11,5;23;4,3;78,3;17,4;
Ekillaskolan;14261356;Sigtuna;0191;Kommunal;Sigtuna kommun;2120000225;34;5,9;58,8;35,3;80;1,3;85,0;13,8;89;18,0;80,9;1,1;51;3,9;60,8;35,3;
Internationella Engelska Skolan Sigtuna;63592981;Sigtuna;0191;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;42;.;78,6;21,4;53;3,8;75,5;20,8;50;2,0;88,0;10,0;.;.;.;.;
Josefinaskolan, grundskola;55508705;Sigtuna;0191;Enskild;Stiftelsen Josefinaskolan;8148007258;15;.;33,3;66,7;.;.;.;.;16;18,8;62,5;18,8;.;.;.;.;
Skolan Bergius;35008423;Sigtuna;0191;Enskild;Sigtuna Friskola AB;5567482707;67;11,9;52,2;35,8;64;1,6;90,6;7,8;68;5,9;89,7;4,4;.;.;.;.;
S:t Olofs skola;13579948;Sigtuna;0191;Kommunal;Sigtuna kommun;2120000225;123;3,3;57,7;39,0;150;6,7;66,0;27,3;152;3,9;69,7;26,3;27;.;66,7;33,3;
Steningehöjdens skola;38854084;Sigtuna;0191;Kommunal;Sigtuna kommun;2120000225;36;.;44,4;55,6;77;.;70,1;29,9;78;.;76,9;23,1;45;4,4;57,8;37,8;
Tingvallaskolan;78491090;Sigtuna;0191;Kommunal;Sigtuna kommun;2120000225;36;2,8;55,6;41,7;56;.;83,9;16,1;56;21,4;75,0;3,6;17;.;70,6;29,4;
Korsavadsskolan 1;66350640;Simrishamn;1291;Kommunal;Simrishamns kommun;2120000969;104;1,0;91,3;7,7;123;.;85,4;14,6;121;20,7;73,6;5,8;18;.;94,4;5,6;
Nils Holgerssonskolan;24445412;Simrishamn;1291;Enskild;Föräldrakooperativet Nils Holgerssonskolan Ek Fö;7696014666;26;.;88,5;11,5;26;.;76,9;23,1;26;3,8;92,3;3,8;.;.;.;.;
Sophiaskolan;59958745;Simrishamn;1291;Enskild;Stift Sophiaskolan, Österlens Waldorfskola;8388005517;24;.;70,8;29,2;22;.;95,5;4,5;24;.;100,0;.;.;.;.;.;
Färsingaskolan;17176734;Sjöbo;1265;Kommunal;Sjöbo kommun;2120001090;84;7,1;44,0;48,8;95;4,2;54,7;41,1;97;4,1;89,7;6,2;.;.;.;.;
Friskolan Metis;46013569;Skara;1495;Enskild;Lärocentrum i Skara Ekonomisk Förening;7696068381;27;.;48,1;51,9;28;.;82,1;17,9;27;14,8;77,8;7,4;.;.;.;.;
Viktoriaskolan 1;14808086;Skara;1495;Kommunal;Skara kommun;2120001702;111;3,6;62,2;34,2;150;0,7;52,0;47,3;145;9,7;75,9;14,5;38;7,9;84,2;7,9;
Björkskolan;65417636;Skellefteå;2482;Enskild;Skolföreningen Växa;8947021443;23;.;69,6;30,4;23;4,3;87,0;8,7;24;8,3;91,7;.;.;.;.;.;
Björnåkersskolan;15720147;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;39;.;71,8;28,2;40;.;47,5;52,5;41;.;90,2;9,8;.;.;.;.;
Bolidenskolan;39160736;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;.;.;.;.;26;.;69,2;30,8;25;8,0;72,0;20,0;.;.;.;.;
Bureskolan;97784361;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;46;10,9;65,2;23,9;55;1,8;47,3;50,9;55;25,5;72,7;1,8;.;.;.;.;
Byskeskolan;23992844;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;37;.;67,6;32,4;36;2,8;94,4;2,8;39;12,8;56,4;30,8;.;.;.;.;
Floraskolan;81992480;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;82;4,9;53,7;41,5;88;.;40,9;59,1;84;34,5;63,1;2,4;.;.;.;.;
Internationella Engelska Skolan Skellefteå;92621428;Skellefteå;2482;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;43;.;83,7;16,3;52;.;90,4;9,6;52;1,9;92,3;5,8;.;.;.;.;
Kågeskolan;67809657;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;56;7,1;64,3;28,6;59;3,4;54,2;42,4;59;11,9;69,5;18,6;.;.;.;.;
Lejonströmsskolan;53655678;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;85;5,9;56,5;37,6;82;.;26,8;73,2;88;8,0;85,2;6,8;.;.;.;.;
Lövångersskolan;87194036;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;18;5,6;88,9;5,6;25;4,0;68,0;28,0;27;25,9;74,1;.;.;.;.;.;
Morö backe skola;48983548;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;48;4,2;77,1;18,8;55;.;89,1;10,9;54;31,5;68,5;.;.;.;.;.;
Norrhammarskolan;20566987;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;61;4,9;80,3;14,8;67;16,4;74,6;9,0;64;28,1;70,3;1,6;.;.;.;.;
Sörböleskolan;89661489;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;96;5,2;85,4;9,4;101;1,0;79,2;19,8;98;39,8;57,1;3,1;.;.;.;.;
Ursviksskolan;15716434;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;41;7,3;68,3;24,4;41;4,9;78,0;17,1;44;18,2;79,5;2,3;.;.;.;.;
Örjanskolan;42247223;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;36;8,3;75,0;16,7;47;.;66,0;34,0;47;27,7;72,3;.;.;.;.;.;
Klockarbergsskolan;62958817;Skinnskatteberg;1904;Kommunal;Skinnskattebergs kommun;2120002023;22;9,1;68,2;22,7;30;.;70,0;30,0;30;.;50,0;50,0;.;.;.;.;
Alléskolan;60217642;Skurup;1264;Kommunal;Skurups kommun;2120001082;21;.;66,7;33,3;22;.;50,0;50,0;21;.;81,0;19,0;.;.;.;.;
Prästamosseskolan;31975018;Skurup;1264;Kommunal;Skurups kommun;2120001082;108;2,8;51,9;45,4;116;0,9;37,1;62,1;119;10,9;79,8;9,2;.;.;.;.;
Eriksdalskolan 2;97361837;Skövde;1496;Kommunal;Skövde kommun;2120001710;31;12,9;71,0;16,1;42;.;59,5;40,5;41;7,3;92,7;.;.;.;.;.;
Helenaskolan;18790096;Skövde;1496;Kommunal;Skövde kommun;2120001710;104;2,9;76,9;20,2;130;1,5;78,5;20,0;134;11,2;85,1;3,7;26;.;92,3;7,7;
Raoul Wallenbergskolan Skövde;90728703;Skövde;1496;Enskild;Raoul Wallenbergskolorna Skaraborg AB;5591438618;130;6,9;76,9;16,2;148;6,8;77,0;16,2;149;6,0;89,3;4,7;.;.;.;.;
Stöpenskolan;89477299;Skövde;1496;Kommunal;Skövde kommun;2120001710;108;2,8;80,6;16,7;119;0,8;81,5;17,6;112;5,4;92,9;1,8;.;.;.;.;
Vasaskolan 1;16057411;Skövde;1496;Kommunal;Skövde kommun;2120001710;56;7,1;73,2;19,6;73;.;78,1;21,9;70;31,4;68,6;.;.;.;.;.;
Vasaskolan 2;83894630;Skövde;1496;Kommunal;Skövde kommun;2120001710;92;8,7;42,4;48,9;102;1,0;72,5;26,5;103;20,4;63,1;16,5;.;.;.;.;
Bergaskolan;81136807;Smedjebacken;2061;Kommunal;Smedjebackens kommun;2120002205;69;.;40,6;59,4;78;.;75,6;24,4;78;14,1;78,2;7,7;.;.;.;.;
Kyrkskolan;68814096;Smedjebacken;2061;Kommunal;Smedjebackens kommun;2120002205;24;4,2;50,0;45,8;25;.;28,0;72,0;26;3,8;61,5;34,6;.;.;.;.;
Junsele skola;49748045;Sollefteå;2283;Kommunal;Sollefteå kommun;2120002437;15;.;73,3;26,7;18;.;88,9;11,1;17;17,6;76,5;5,9;.;.;.;.;
Nipanskolan F-9;46660811;Sollefteå;2283;Kommunal;Sollefteå kommun;2120002437;66;6,1;53,0;40,9;73;1,4;50,7;47,9;74;17,6;48,6;33,8;.;.;.;.;
Vallaskolan 4-9;41865593;Sollefteå;2283;Kommunal;Sollefteå kommun;2120002437;47;2,1;72,3;25,5;58;1,7;74,1;24,1;61;6,6;85,2;8,2;.;.;.;.;
Dibber International School Sollentuna;47462120;Sollentuna;0163;Enskild;Dibber Norrviken Skola AB;5567289391;31;6,5;74,2;19,4;50;2,0;64,0;34,0;50;8,0;66,0;26,0;.;.;.;.;
Edsbergsskolan;18595907;Sollentuna;0163;Kommunal;Sollentuna kommun;2120000134;90;10,0;62,2;27,8;113;0,9;92,0;7,1;113;15,9;80,5;3,5;21;4,8;42,9;52,4;
Futuraskolan International Hertig Karl;40467992;Sollentuna;0163;Enskild;Futuraskolan AB;5566095047;.;.;.;.;17;.;64,7;35,3;18;.;77,8;22,2;.;.;.;.;
Futuraskolan International Rådan;47986219;Sollentuna;0163;Enskild;Futuraskolan AB;5566095047;19;.;89,5;10,5;23;.;95,7;4,3;22;.;95,5;4,5;.;.;.;.;
Gillbo-Gröndalsskolan;73629371;Sollentuna;0163;Kommunal;Sollentuna kommun;2120000134;47;4,3;89,4;6,4;50;.;76,0;24,0;49;12,2;83,7;4,1;.;.;.;.;
Gärdesskolan;70201551;Sollentuna;0163;Kommunal;Sollentuna kommun;2120000134;55;.;85,5;14,5;57;.;84,2;15,8;62;38,7;58,1;3,2;.;.;.;.;
