Statistik från Skolverket, https://www.skolverket.se

Grundskola - Relationen mellan nationella prov och slutbetyg årskurs 9, svenska/svenska som andraspråk, matematik och engelska
Valt läsår: 2022/23

Exporten visar statistik om det finns minst 15 elever i årskurs 9 med både slutbetyg och provbetyg i 
ämnena svenska, matematik eller engelska.
Om data saknas visas en prick (.) istället för utfall.

Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Svenska, antal elever med provbetyg och slutbetyg;Svenska, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Svenska, andel (%) elever med lika slutbetyg jämfört med provbetyget;Svenska, andel (%) elever med högre slutbetyg jämfört med provbetyget;Matematik, antal elever med provbetyg och slutbetyg;Matematik, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Matematik, andel (%) elever med lika slutbetyg jämfört med provbetyget;Matematik, andel (%) elever med högre slutbetyg jämfört med provbetyget;Engelska, antal elever med provbetyg och slutbetyg;Engelska, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Engelska, andel (%) elever med lika slutbetyg jämfört med provbetyget;Engelska, andel (%) elever med högre slutbetyg jämfört med provbetyget;Svenska som andraspråk, antal elever med provbetyg och slutbetyg;Svenska som andraspråk, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Svenska som andraspråk, andel (%) elever med lika slutbetyg jämfört med provbetyget;Svenska som andraspråk, andel (%) elever med högre slutbetyg jämfört med provbetyget;
Kubikskolan Dibber;82943624;Helsingborg;1283;Enskild;Dibber Kubikskolan AB;5565858619;48;12,5;60,4;27,1;62;1,6;87,1;11,3;64;9,4;82,8;7,8;.;.;.;.;
Kunskapsskolan Helsingborg;48798589;Helsingborg;1283;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;114;3,5;85,1;11,4;117;.;92,3;7,7;120;.;97,5;2,5;.;.;.;.;
Laröds skola;87251726;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;46;8,7;54,3;37,0;45;4,4;82,2;13,3;46;43,5;56,5;.;.;.;.;.;
Maria Parkskolan;42164778;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;97;1,0;58,8;40,2;113;2,7;89,4;8,0;114;1,8;80,7;17,5;.;.;.;.;
Musikgrundskolan Synkopen;55200547;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;22;4,5;59,1;36,4;24;.;83,3;16,7;23;30,4;69,6;.;.;.;.;.;
Noblaskolan Mariastaden;57590681;Helsingborg;1283;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;39;.;59,0;41,0;37;8,1;81,1;10,8;38;5,3;92,1;2,6;.;.;.;.;
Påarps skola;66351593;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;19;21,1;57,9;21,1;26;.;73,1;26,9;24;29,2;45,8;25,0;.;.;.;.;
Rydebäckskolan;40385157;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;84;9,5;76,2;14,3;91;.;42,9;57,1;95;17,9;74,7;7,4;.;.;.;.;
Sally Bauerskolans Högstadium;53515359;Helsingborg;1283;Enskild;Sally Bauer Skolans Högstadium;8430033152;40;.;97,5;2,5;44;4,5;79,5;15,9;42;9,5;90,5;.;.;.;.;.;
Slottsvångsskolan;63957271;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;.;.;.;.;29;3,4;75,9;20,7;28;14,3;75,0;10,7;16;.;75,0;25,0;
Svensgårdsskolan;89693828;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;35;22,9;74,3;2,9;34;8,8;79,4;11,8;35;8,6;57,1;34,3;.;.;.;.;
Tågaborgsskolan;87948789;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;63;12,7;60,3;27,0;95;.;72,6;27,4;94;52,1;45,7;2,1;32;9,4;78,1;12,5;
Vittra Adolfsberg;71069736;Helsingborg;1283;Enskild;Vittraskolorna AB;5564586716;.;.;.;.;23;.;78,3;21,7;23;4,3;78,3;17,4;15;.;53,3;46,7;
Vittra Landborgen;90080902;Helsingborg;1283;Enskild;Vittraskolorna AB;5564586716;.;.;.;.;21;.;81,0;19,0;23;4,3;91,3;4,3;.;.;.;.;
Västra Berga skola;28060171;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;.;.;.;.;28;3,6;92,9;3,6;25;4,0;88,0;8,0;15;.;93,3;6,7;
Wieselgrensskolan;51014228;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;25;.;96,0;4,0;66;.;15,2;84,8;76;5,3;80,3;14,5;53;3,8;75,5;20,8;
Ättekullaskolan;64728140;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;.;.;.;.;20;.;50,0;50,0;18;22,2;72,2;5,6;.;.;.;.;
Altorpskolan A C;84724191;Herrljunga;1466;Kommunal;Herrljunga kommun;2120001520;38;21,1;57,9;21,1;42;.;83,3;16,7;40;12,5;67,5;20,0;.;.;.;.;
Altorpskolan B D;38295531;Herrljunga;1466;Kommunal;Herrljunga kommun;2120001520;57;7,0;47,4;45,6;70;1,4;74,3;24,3;67;22,4;74,6;3,0;.;.;.;.;
Guldkroksskolan 7-9;81342093;Hjo;1497;Kommunal;Hjo kommun;2120001728;79;5,1;69,6;25,3;90;.;77,8;22,2;86;36,0;61,6;2,3;.;.;.;.;
Petreskolan;17291574;Hofors;2104;Kommunal;Hofors kommun;2120002296;63;19,0;71,4;9,5;78;2,6;66,7;30,8;75;2,7;88,0;9,3;.;.;.;.;
Annerstaskolan;79012683;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;25;.;68,0;32,0;49;2,0;67,3;30,6;48;4,2;83,3;12,5;23;4,3;91,3;4,3;
Balingsnässkolan;13654969;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;56;14,3;64,3;21,4;54;1,9;92,6;5,6;59;8,5;83,1;8,5;.;.;.;.;
Glömstaskolan;15218794;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;48;.;83,3;16,7;72;.;51,4;48,6;70;24,3;70,0;5,7;19;5,3;84,2;10,5;
Internationella Engelska Skolan Huddinge;97942210;Huddinge;0126;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;111;18,0;64,9;17,1;144;.;90,3;9,7;149;.;91,9;8,1;32;9,4;75,0;15,6;
Internationella Engelska Skolan Länna;22127801;Huddinge;0126;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;76;22,4;57,9;19,7;91;.;83,5;16,5;91;13,2;86,8;.;.;.;.;.;
Kungsklippeskolan;89510449;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;50;4,0;62,0;34,0;52;1,9;78,8;19,2;49;14,3;81,6;4,1;.;.;.;.;
Kvarnbergsskolan;54516737;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;139;10,1;69,1;20,9;214;.;76,2;23,8;208;16,3;73,6;10,1;30;.;43,3;56,7;
Källbrinksskolan;41213404;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;132;2,3;82,6;15,2;128;.;68,0;32,0;126;4,8;84,1;11,1;.;.;.;.;
Lärande Grundskola Skapa;10063280;Huddinge;0126;Enskild;The Learning Lab i Stockholm AB;5568097405;41;.;75,6;24,4;42;.;83,3;16,7;44;.;81,8;18,2;.;.;.;.;
Segeltorpsskolan;15483394;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;96;3,1;69,8;27,1;92;4,3;68,5;27,2;104;9,6;88,5;1,9;.;.;.;.;
Södertörns friskola;22019000;Huddinge;0126;Enskild;Södertörns Friskola Ekonomisk Förening;7696004238;98;8,2;76,5;15,3;98;2,0;86,7;11,2;98;34,7;61,2;4,1;.;.;.;.;
Trångsundsskolan;42601396;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;48;6,3;70,8;22,9;51;.;64,7;35,3;52;13,5;73,1;13,5;.;.;.;.;
Vistaskolan;50783450;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;72;9,7;81,9;8,3;78;.;64,1;35,9;78;23,1;73,1;3,8;.;.;.;.;
Vårbyskolan;64949601;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;.;.;.;.;42;4,8;61,9;33,3;42;40,5;59,5;.;33;9,1;69,7;21,2;
Östra grundskolan;39229061;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;68;4,4;80,9;14,7;112;0,9;46,4;52,7;108;14,8;75,9;9,3;39;2,6;61,5;35,9;
Ede skola;83627088;Hudiksvall;2184;Kommunal;Hudiksvalls kommun;2120002379;58;.;91,4;8,6;55;.;83,6;16,4;58;15,5;69,0;15,5;.;.;.;.;
Hudikskolan 7-9;77537602;Hudiksvall;2184;Enskild;Hudikskolan AB;5592976954;50;10,0;64,0;26,0;49;.;57,1;42,9;50;.;70,0;30,0;.;.;.;.;
Iggesunds skola;80631297;Hudiksvall;2184;Kommunal;Hudiksvalls kommun;2120002379;33;9,1;78,8;12,1;40;.;87,5;12,5;43;18,6;74,4;7,0;.;.;.;.;
Läroverket;23786565;Hudiksvall;2184;Kommunal;Hudiksvalls kommun;2120002379;133;6,0;60,2;33,8;139;.;79,1;20,9;139;12,2;68,3;19,4;.;.;.;.;
Östra skolan;50190330;Hudiksvall;2184;Kommunal;Hudiksvalls kommun;2120002379;119;7,6;54,6;37,8;129;0,8;66,7;32,6;129;9,3;86,0;4,7;.;.;.;.;
Albäcksskolan 1;55252119;Hultsfred;0860;Kommunal;Hultsfreds kommun;2120000712;33;3,0;57,6;39,4;52;.;55,8;44,2;53;5,7;83,0;11,3;19;.;63,2;36,8;
Albäcksskolan 2;84230115;Hultsfred;0860;Kommunal;Hultsfreds kommun;2120000712;40;.;45,0;55,0;64;.;73,4;26,6;64;3,1;70,3;26,6;23;.;52,2;47,8;
Nya Centralskolan i Virserum AB;12289594;Hultsfred;0860;Enskild;Prolympia Virserum AB;5568088743;26;19,2;69,2;11,5;42;.;73,8;26,2;44;4,5;61,4;34,1;.;.;.;.;
Örnaskolan;56192472;Hylte;1315;Kommunal;Hylte kommun;2120001207;97;14,4;57,7;27,8;127;.;68,5;31,5;132;8,3;81,1;10,6;25;4,0;88,0;8,0;
Futurum 7-9;22385992;Håbo;0305;Kommunal;Håbo kommun;2120000241;99;7,1;45,5;47,5;98;.;23,5;76,5;98;13,3;71,4;15,3;.;.;.;.;
Gransäterskolan;90826660;Håbo;0305;Kommunal;Håbo kommun;2120000241;55;7,3;58,2;34,5;51;.;88,2;11,8;52;28,8;65,4;5,8;.;.;.;.;
Gröna dalen;49674763;Håbo;0305;Kommunal;Håbo kommun;2120000241;30;13,3;76,7;10,0;40;.;90,0;10,0;41;39,0;58,5;2,4;.;.;.;.;
Läraskolan;28306495;Håbo;0305;Enskild;Läraskolan i Bålsta AB;5567275663;24;8,3;75,0;16,7;23;.;95,7;4,3;24;.;100,0;.;.;.;.;.;
Potentia Education;15081255;Håbo;0305;Enskild;Potentia education AB;5567521553;26;3,8;57,7;38,5;28;7,1;64,3;28,6;28;35,7;60,7;3,6;.;.;.;.;
Västerängsskolan;29299366;Håbo;0305;Kommunal;Håbo kommun;2120000241;34;2,9;38,2;58,8;29;3,4;82,8;13,8;34;8,8;85,3;5,9;.;.;.;.;
Klockarhagsskolan åk 7-9;72295739;Hällefors;1863;Kommunal;Hällefors kommun;2120001942;49;8,2;55,1;36,7;67;13,4;73,1;13,4;69;.;89,9;10,1;18;11,1;66,7;22,2;
Funäsdalens skola;72295998;Härjedalen;2361;Kommunal;Härjedalens kommun;2120002510;20;.;95,0;5,0;20;.;100,0;.;20;5,0;95,0;.;.;.;.;.;
Södra Skolan;79022806;Härjedalen;2361;Kommunal;Härjedalens kommun;2120002510;41;2,4;63,4;34,1;46;.;37,0;63,0;42;11,9;78,6;9,5;.;.;.;.;
Hedda Wisingskolan;16490220;Härnösand;2280;Kommunal;Härnösands kommun;2120002403;84;6,0;70,2;23,8;96;2,1;55,2;42,7;91;4,4;68,1;27,5;17;11,8;76,5;11,8;
Kastellskolan;69454219;Härnösand;2280;Enskild;Kastellskolan;8880008365;31;6,5;83,9;9,7;30;3,3;60,0;36,7;33;18,2;75,8;6,1;.;.;.;.;
Wendela Hellmanskolan;97940004;Härnösand;2280;Kommunal;Härnösands kommun;2120002403;118;5,1;51,7;43,2;126;1,6;57,9;40,5;128;11,7;78,9;9,4;20;5,0;50,0;45,0;
Båtsmansskolan 7-9;37772170;Härryda;1401;Kommunal;Härryda kommun;2120001264;60;11,7;78,3;10,0;59;.;74,6;25,4;56;12,5;78,6;8,9;.;.;.;.;
Djupedalskolan 7-9;91978548;Härryda;1401;Kommunal;Härryda kommun;2120001264;74;4,1;62,2;33,8;80;.;81,3;18,8;78;19,2;74,4;6,4;.;.;.;.;
Ekdalaskolan 7-9;69723336;Härryda;1401;Kommunal;Härryda kommun;2120001264;94;3,2;83,0;13,8;108;0,9;76,9;22,2;104;8,7;85,6;5,8;.;.;.;.;
Fridaskolan, Härryda;27274628;Härryda;1401;Enskild;Fridaskolorna AB;5564515988;72;6,9;62,5;30,6;75;.;73,3;26,7;69;1,4;92,8;5,8;.;.;.;.;
Landvetterskolan 7-9 A-C;28836025;Härryda;1401;Kommunal;Härryda kommun;2120001264;43;7,0;74,4;18,6;51;.;80,4;19,6;51;7,8;82,4;9,8;.;.;.;.;
Landvetterskolan 7-9 D-F;29069124;Härryda;1401;Kommunal;Härryda kommun;2120001264;58;3,4;84,5;12,1;67;.;83,6;16,4;66;13,6;83,3;3,0;.;.;.;.;
Önnerödsskolan 7-9;28698437;Härryda;1401;Kommunal;Härryda kommun;2120001264;67;3,0;58,2;38,8;68;4,4;75,0;20,6;71;43,7;56,3;.;.;.;.;.;
Bjärnums skola F-9;65212509;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;34;17,6;58,8;23,5;36;2,8;80,6;16,7;38;18,4;76,3;5,3;.;.;.;.;
Furutorpskolan 4-9;78602001;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;45;13,3;71,1;15,6;43;.;93,0;7,0;31;22,6;77,4;.;.;.;.;.;
Hässleholms Montessoriskola F-9;28804882;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;26;15,4;61,5;23,1;26;7,7;57,7;34,6;26;.;88,5;11,5;.;.;.;.;
Hästveda skola F-9;56398338;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;24;8,3;75,0;16,7;26;.;57,7;42,3;27;14,8;81,5;3,7;.;.;.;.;
Internationella Engelska Skolan Hässleholm;79716826;Hässleholm;1293;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;51;3,9;84,3;11,8;64;.;18,8;81,3;65;24,6;73,8;1,5;.;.;.;.;
Linnéskolan F-9;84432632;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;27;.;81,5;18,5;39;.;76,9;23,1;38;10,5;84,2;5,3;.;.;.;.;
Läredaskolan F-9;29689372;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;41;7,3;68,3;24,4;54;.;70,4;29,6;55;23,6;67,3;9,1;18;5,6;66,7;27,8;
Thoren Framtid i Hässleholm;79864142;Hässleholm;1293;Enskild;Thoren Framtid AB;5567497051;68;1,5;70,6;27,9;70;.;64,3;35,7;71;46,5;49,3;4,2;.;.;.;.;
Tyringe skola F-9;98058756;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;58;5,2;84,5;10,3;65;1,5;69,2;29,2;63;7,9;87,3;4,8;.;.;.;.;
Vannarödsskolan 6-9;93845278;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;27;14,8;81,5;3,7;35;.;71,4;28,6;30;23,3;70,0;6,7;.;.;.;.;
Västerskolan F-9;75318783;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;73;5,5;60,3;34,2;84;2,4;57,1;40,5;81;24,7;74,1;1,2;.;.;.;.;
Bruksskolan 7-9;58312480;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;40;5,0;52,5;42,5;48;.;66,7;33,3;48;22,9;66,7;10,4;.;.;.;.;
Brunnbyskolan;95113658;Höganäs;1284;Enskild;Brunnby Skola M-I Handelsbolag;9167744359;18;5,6;83,3;11,1;18;.;88,9;11,1;18;27,8;72,2;.;.;.;.;.;
Jonstorpsskolan 7-9;66888504;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;61;8,2;70,5;21,3;64;6,3;78,1;15,6;60;8,3;85,0;6,7;.;.;.;.;
Lerbergsskolan 7-9;11721378;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;49;6,1;63,3;30,6;47;6,4;89,4;4,3;46;13,0;87,0;.;.;.;.;.;
Nyhamnsskolan 7-9;18031893;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;28;32,1;39,3;28,6;30;.;73,3;26,7;33;15,2;75,8;9,1;.;.;.;.;
Tornlyckeskolan 7-9;36274763;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;30;.;90,0;10,0;39;.;82,1;17,9;43;14,0;76,7;9,3;.;.;.;.;
Vikenskolan 7-9;18383147;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;51;2,0;72,5;25,5;61;.;91,8;8,2;63;12,7;87,3;.;.;.;.;.;
Fröviskolan 7-9;78308250;Högsby;0821;Kommunal;Högsby kommun;2120000688;31;16,1;71,0;12,9;36;2,8;77,8;19,4;37;18,9;64,9;16,2;.;.;.;.;
Frostaskolan 7-9;38299211;Hörby;1266;Kommunal;Hörby kommun;2120001108;63;7,9;71,4;20,6;77;3,9;75,3;20,8;78;5,1;85,9;9,0;.;.;.;.;
Georgshillsskolan 7-9;90834434;Hörby;1266;Kommunal;Hörby kommun;2120001108;52;5,8;63,5;30,8;56;.;80,4;19,6;57;10,5;77,2;12,3;.;.;.;.;
Ludvigsborgs friskola;52665905;Hörby;1266;Enskild;Ludvigsborgs Fristående Skola, Ek. Förening;7164396918;21;.;95,2;4,8;17;.;76,5;23,5;19;5,3;89,5;5,3;.;.;.;.;
Emiliaskolan Höörs waldorfsk.;63846783;Höör;1267;Enskild;Föreningen Emiliaskolan;8420007984;18;.;50,0;50,0;20;5,0;55,0;40,0;19;15,8;47,4;36,8;.;.;.;.;
Ringsjöskolan;82942801;Höör;1267;Kommunal;Höörs kommun;2120001116;92;3,3;71,7;25,0;81;1,2;58,0;40,7;98;35,7;56,1;8,2;.;.;.;.;
Sätoftaskolan;35670754;Höör;1267;Kommunal;Höörs kommun;2120001116;39;7,7;46,2;46,2;44;2,3;68,2;29,5;42;7,1;76,2;16,7;.;.;.;.;
Östra skolan;86851817;Jokkmokk;2510;Kommunal;Jokkmokks kommun;2120002676;28;14,3;82,1;3,6;30;.;80,0;20,0;30;10,0;76,7;13,3;.;.;.;.;
Björkebyskolan;40847752;Järfälla;0123;Kommunal;Järfälla kommun;2120000043;142;4,2;57,7;38,0;156;.;84,0;16,0;144;27,1;61,1;11,8;.;.;.;.;
Fjällenskolan;15080815;Järfälla;0123;Kommunal;Järfälla kommun;2120000043;73;9,6;61,6;28,8;70;1,4;57,1;41,4;72;51,4;44,4;4,2;.;.;.;.;
Internationella Engelska Skolan Järfälla;79093755;Järfälla;0123;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;115;5,2;86,1;8,7;119;1,7;86,6;11,8;121;30,6;68,6;0,8;.;.;.;.;
Kvarnskolan;77763178;Järfälla;0123;Kommunal;Järfälla kommun;2120000043;110;10,0;70,0;20,0;135;3,7;91,1;5,2;125;22,4;72,8;4,8;28;10,7;75,0;14,3;
Källtorpskolan;17287315;Järfälla;0123;Kommunal;Järfälla kommun;2120000043;88;1,1;55,7;43,2;101;1,0;80,2;18,8;94;9,6;75,5;14,9;.;.;.;.;
Viksjöskolan;98925408;Järfälla;0123;Kommunal;Järfälla kommun;2120000043;171;7,0;57,3;35,7;175;.;89,7;10,3;169;2,4;82,2;15,4;.;.;.;.;
Vittra Jakobsberg;66634449;Järfälla;0123;Enskild;Vittraskolorna AB;5564586716;36;5,6;50,0;44,4;46;.;78,3;21,7;49;8,2;73,5;18,4;.;.;.;.;
Alfred Dalinskolan;85416841;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;169;9,5;62,1;28,4;209;.;57,9;42,1;209;7,7;86,6;5,7;46;17,4;65,2;17,4;
Attarpsskolan 7-9;40546319;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;138;3,6;50,0;46,4;136;0,7;58,8;40,4;140;15,0;73,6;11,4;.;.;.;.;
Flahultsskolan;28849109;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;123;7,3;74,8;17,9;126;1,6;74,6;23,8;127;15,7;77,2;7,1;.;.;.;.;
Internationella Engelska Skolan Jönköping;86499334;Jönköping;0680;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;70;.;88,6;11,4;100;2,0;98,0;.;104;1,9;94,2;3,8;34;2,9;79,4;17,6;
Junedalsskolan;20696736;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;246;4,5;64,2;31,3;261;.;65,5;34,5;271;11,1;79,0;10,0;22;4,5;72,7;22,7;
Kunskapsskolan Jönköping;86562542;Jönköping;0680;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;51;2,0;78,4;19,6;59;3,4;61,0;35,6;60;20,0;68,3;11,7;.;.;.;.;
Ljungarumsskolan 7-9;84917564;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;131;9,2;74,8;16,0;148;2,0;74,3;23,6;138;8,7;70,3;21,0;17;17,6;70,6;11,8;
Prolympia, Jönköping;95673344;Jönköping;0680;Enskild;Prolympia AB;5567026454;85;7,1;51,8;41,2;85;.;64,7;35,3;84;22,6;70,2;7,1;.;.;.;.;
Ribbaskolan;83919671;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;94;8,5;54,3;37,2;103;.;60,2;39,8;102;11,8;79,4;8,8;.;.;.;.;
Rosenlundsskolan 7-9;96558008;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;127;13,4;57,5;29,1;160;.;76,3;23,8;158;46,8;52,5;0,6;27;7,4;70,4;22,2;
Sanda idrottshögstadium;98088982;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;69;7,2;66,7;26,1;74;.;60,8;39,2;74;1,4;93,2;5,4;.;.;.;.;
Stadsgårdsskolan;12759583;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;52;17,3;63,5;19,2;88;.;80,7;19,3;81;27,2;63,0;9,9;35;14,3;60,0;25,7;
Strandskolan;23250615;Jönköping;0680;Enskild;Jönköpings Kristna Skolförening;8260017648;25;20,0;60,0;20,0;23;4,3;87,0;8,7;26;23,1;26,9;50,0;.;.;.;.;
Innovitaskolan Kalix;20525218;Kalix;2514;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;15;20,0;66,7;13,3;16;.;93,8;6,3;15;6,7;93,3;.;.;.;.;.;
Manhemsskolan;10617819;Kalix;2514;Kommunal;Kalix kommun;2120002692;115;8,7;58,3;33,0;119;.;57,1;42,9;125;20,8;75,2;4,0;.;.;.;.;
Falkenbergsskolan;99856371;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;93;.;77,4;22,6;100;6,0;67,0;27,0;90;16,7;80,0;3,3;.;.;.;.;
Funkaboskolan;21736926;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;110;10,0;79,1;10,9;123;0,8;84,6;14,6;117;12,8;84,6;2,6;.;.;.;.;
Lindsdalsskolorna;51848797;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;113;8,0;53,1;38,9;124;0,8;78,2;21,0;119;20,2;78,2;1,7;.;.;.;.;
Nordic International School Kalmar;51786225;Kalmar;0880;Enskild;Nordic International School AB;5566102033;31;3,2;41,9;54,8;53;1,9;52,8;45,3;53;3,8;81,1;15,1;20;5,0;55,0;40,0;
Smedbyskolan;27675952;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;60;6,7;73,3;20,0;67;.;68,7;31,3;65;20,0;78,5;1,5;.;.;.;.;
Södermöreskolan;79012102;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;77;15,6;61,0;23,4;79;.;74,7;25,3;79;16,5;65,8;17,7;.;.;.;.;
Södra skolan;13936858;Kalmar;0880;Enskild;Södra skolan i Kalmar AB;5566966031;71;9,9;47,9;42,3;72;4,2;61,1;34,7;72;19,4;69,4;11,1;.;.;.;.;
Tallhagsskolan;74570653;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;80;6,3;53,8;40,0;110;6,4;70,0;23,6;103;12,6;77,7;9,7;30;3,3;40,0;56,7;
Västra Skolan Kalmar;94235119;Kalmar;0880;Enskild;CIS Kalmar AB;5565896213;44;2,3;29,5;68,2;47;.;68,1;31,9;48;6,3;50,0;43,8;.;.;.;.;
Carl Johanskolan;34231336;Karlsborg;1446;Kommunal;Karlsborgs kommun;2120001629;58;1,7;79,3;19,0;59;.;69,5;30,5;60;8,3;88,3;3,3;.;.;.;.;
Norrevångskolan;89878714;Karlshamn;1082;Kommunal;Karlshamns kommun;2120000845;55;.;69,1;30,9;62;.;83,9;16,1;57;1,8;86,0;12,3;.;.;.;.;
Stenbackaskolan;16767324;Karlshamn;1082;Kommunal;Karlshamns kommun;2120000845;73;2,7;58,9;38,4;96;.;69,8;30,2;91;12,1;76,9;11,0;16;.;43,8;56,3;
Thoren Framtid i Karlshamn;16249641;Karlshamn;1082;Enskild;Thoren Framtid AB;5567497051;69;.;85,5;14,5;77;.;80,5;19,5;70;14,3;84,3;1,4;.;.;.;.;
Waldorfskolan i Karlshamn;22909101;Karlshamn;1082;Enskild;Daggkåpan Ekonomisk Förening;7164056082;.;.;.;.;15;20,0;66,7;13,3;.;.;.;.;.;.;.;.;
Österslättsskolan;43859477;Karlshamn;1082;Kommunal;Karlshamns kommun;2120000845;81;14,8;54,3;30,9;114;1,8;67,5;30,7;118;10,2;82,2;7,6;36;11,1;44,4;44,4;
Bregårdsskolan 7-9;71762216;Karlskoga;1883;Kommunal;Karlskoga kommun;2120001991;93;5,4;66,7;28,0;114;2,6;81,6;15,8;107;28,0;66,4;5,6;.;.;.;.;
Skrantaskolan;65654358;Karlskoga;1883;Kommunal;Karlskoga kommun;2120001991;78;7,7;67,9;24,4;98;6,1;61,2;32,7;99;.;96,0;4,0;20;20,0;65,0;15,0;
Österledskolan;34767418;Karlskoga;1883;Kommunal;Karlskoga kommun;2120001991;87;8,0;66,7;25,3;88;3,4;89,8;6,8;94;7,4;80,9;11,7;.;.;.;.;
Friskolan Svettpärlan;93964634;Karlskrona;1080;Enskild;Friskolan Svettpärlan AB;5565570446;24;.;16,7;83,3;23;.;82,6;17,4;21;4,8;71,4;23,8;.;.;.;.;
Innovitaskolan Karlskrona;10662754;Karlskrona;1080;Enskild;AcadeMedia fria grundskolor AB;5569320699;87;11,5;83,9;4,6;94;3,2;52,1;44,7;94;23,4;75,5;1,1;.;.;.;.;
Jämjö kunskapscentrum F-9;97495074;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;99;7,1;81,8;11,1;102;.;87,3;12,7;97;9,3;81,4;9,3;.;.;.;.;
Karlskrona Montessorifriskola;67509465;Karlskrona;1080;Enskild;Karlskrona Montessorifriskola AB;5565030599;21;9,5;66,7;23,8;23;.;69,6;30,4;23;30,4;69,6;.;.;.;.;.;
Lyckeby kunskapscentrum F-9;55709634;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;99;3,0;85,9;11,1;110;.;82,7;17,3;105;14,3;81,0;4,8;17;.;94,1;5,9;
Musikugglan;93919365;Karlskrona;1080;Enskild;Tant Grön AB;5564127099;53;.;84,9;15,1;55;.;94,5;5,5;57;1,8;94,7;3,5;.;.;.;.;
Nättraby kunskapscentrum F-9;76323160;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;76;11,8;72,4;15,8;72;9,7;73,6;16,7;73;19,2;75,3;5,5;.;.;.;.;
